Area_Name,Date,Year,Month,Labor_Force,Employment,Unemployment,Unemployment_Rate,Crime_Rate
OAK,1/1/10,2010,January,1303900,1157500,146400,11,5551
OAK,2/1/10,2010,February,1305500,1161100,144400,11,5551
OAK,3/1/10,2010,March,1312800,1166000,146800,11,5551
OAK,4/1/10,2010,April,1311700,1169900,141800,11,5551
OAK,5/1/10,2010,May,1305000,1167200,137800,11,5551
OAK,6/1/10,2010,June,1306300,1162900,143400,11,5551
OAK,7/1/10,2010,July,1312000,1163200,148700,11,5551
OAK,8/1/10,2010,August,1307300,1160800,146500,11,5551
OAK,9/1/10,2010,September,1312900,1171500,141400,11,5551
OAK,10/1/10,2010,October,1305400,1165300,140100,11,5551
OAK,11/1/10,2010,November,1308400,1165400,143000,11,5551
OAK,12/1/10,2010,December,1305600,1169300,136300,10,5551
OAK,1/1/11,2011,January,1303300,1161000,142300,11,6484
OAK,2/1/11,2011,February,1302400,1163900,138500,11,6484
OAK,3/1/11,2011,March,1308700,1170700,137900,11,6484
OAK,4/1/11,2011,April,1307400,1176400,131000,10,6484
OAK,5/1/11,2011,May,1307700,1178200,129500,10,6484
OAK,6/1/11,2011,June,1314700,1175800,138900,11,6484
OAK,7/1/11,2011,July,1323600,1183300,140300,11,6484
OAK,8/1/11,2011,August,1324900,1187500,137300,10,6484
OAK,9/1/11,2011,September,1323700,1191100,132600,10,6484
OAK,10/1/11,2011,October,1327500,1196900,130600,10,6484
OAK,11/1/11,2011,November,1325200,1199400,125800,10,6484
OAK,12/1/11,2011,December,1326600,1204500,122100,9,6484
OAK,1/1/12,2012,January,1320500,1195300,125200,10,8072
OAK,2/1/12,2012,February,1326000,1201100,124800,9,8072
OAK,3/1/12,2012,March,1329300,1205600,123700,9,8072
OAK,4/1/12,2012,April,1323700,1208400,115300,9,8072
OAK,5/1/12,2012,May,1326300,1211200,115100,9,8072
OAK,6/1/12,2012,June,1333100,1210400,122700,9,8072
OAK,7/1/12,2012,July,1342800,1217500,125200,9,8072
OAK,8/1/12,2012,August,1338100,1217900,120200,9,8072
OAK,9/1/12,2012,September,1338300,1228100,110200,8,8072
OAK,10/1/12,2012,October,1345100,1233900,111300,8,8072
OAK,11/1/12,2012,November,1342200,1234900,107300,8,8072
OAK,12/1/12,2012,December,1344900,1238800,106100,8,8072
OAK,1/1/13,2013,January,1341900,1229300,112600,8,7802
OAK,2/1/13,2013,February,1340800,1234500,106300,8,7802
OAK,3/1/13,2013,March,1339000,1236600,102400,8,7802
OAK,4/1/13,2013,April,1336000,1241100,94900,7,7802
OAK,5/1/13,2013,May,1338100,1243700,94400,7,7802
OAK,6/1/13,2013,June,1341200,1237800,103400,8,7802
OAK,7/1/13,2013,July,1352600,1247900,104700,8,7802
OAK,8/1/13,2013,August,1344800,1245000,99800,7,7802
OAK,9/1/13,2013,September,1345100,1250700,94300,7,7802
OAK,10/1/13,2013,October,1337800,1243400,94400,7,7802
OAK,11/1/13,2013,November,1339400,1250100,89300,7,7802
OAK,12/1/13,2013,December,1333000,1249000,83900,6,7802
OAK,1/1/14,2014,January,1334600,1246300,88400,7,7359
OAK,2/1/14,2014,February,1342100,1253200,88900,7,7359
OAK,3/1/14,2014,March,1346600,1258200,88400,7,7359
OAK,4/1/14,2014,April,1337900,1261800,76100,6,7359
OAK,5/1/14,2014,May,1343700,1266900,76800,6,7359
OAK,6/1/14,2014,June,1351100,1269800,81300,6,7359
OAK,7/1/14,2014,July,1362600,1275000,87600,6,7359
OAK,8/1/14,2014,August,1356000,1271700,84300,6,7359
OAK,9/1/14,2014,September,1355200,1278800,76400,6,7359
OAK,10/1/14,2014,October,1361400,1285800,75600,6,7359
OAK,11/1/14,2014,November,1362700,1288800,73900,5,7359
OAK,12/1/14,2014,December,1356600,1288400,68100,5,7359
OAK,1/1/15,2015,January,1361400,1286600,74800,6,7204
OAK,2/1/15,2015,February,1362300,1291200,71100,5,7204
OAK,3/1/15,2015,March,1364700,1295200,69500,5,7204
OAK,4/1/15,2015,April,1364100,1299900,64200,5,7204
OAK,5/1/15,2015,May,1370900,1306100,64800,5,7204
OAK,6/1/15,2015,June,1371800,1303400,68400,5,7204
OAK,7/1/15,2015,July,1379900,1308000,72000,5,7204
OAK,8/1/15,2015,August,1375700,1308500,67200,5,7204
OAK,9/1/15,2015,September,1369900,1308800,61100,5,7204
OAK,10/1/15,2015,October,1374200,1311400,62800,5,7204
OAK,11/1/15,2015,November,1375600,1314300,61300,5,7204
OAK,12/1/15,2015,December,1376400,1317200,59200,4,7204
OAK,1/1/16,2016,January,1379000,1316200,62800,5,7061
OAK,2/1/16,2016,February,1388000,1325900,62100,5,7061
OAK,3/1/16,2016,March,1393100,1329600,63500,5,7061
OAK,4/1/16,2016,April,1386000,1326900,59100,4,7061
OAK,5/1/16,2016,May,1384600,1330300,54200,4,7061
OAK,6/1/16,2016,June,1393300,1329800,63600,5,7061
OAK,7/1/16,2016,July,1404700,1338200,66500,5,7061
OAK,8/1/16,2016,August,1400500,1336100,64300,5,7061
OAK,9/1/16,2016,September,1403700,1343500,60300,4,7061
OAK,10/1/16,2016,October,1405200,1344700,60500,4,7061
OAK,11/1/16,2016,November,1401000,1344900,56100,4,7061
OAK,12/1/16,2016,December,1396400,1341600,54900,4,7061
OAK,1/1/17,2017,January,1401400,1340600,60900,4,7281
OAK,2/1/17,2017,February,1407200,1349400,57800,4,7281
OAK,3/1/17,2017,March,1412900,1357500,55500,4,7281
OAK,4/1/17,2017,April,1404300,1353700,50600,4,7281
OAK,5/1/17,2017,May,1403200,1355000,48200,3,7281
OAK,6/1/17,2017,June,1411000,1356100,54900,4,7281
OAK,7/1/17,2017,July,1420600,1362100,58500,4,7281
OAK,8/1/17,2017,August,1415500,1358700,56900,4,7281
OAK,9/1/17,2017,September,1421100,1372500,48600,3,7281
OAK,10/1/17,2017,October,1415200,1368000,47100,3,7281
OAK,11/1/17,2017,November,1418600,1373100,45500,3,7281
OAK,12/1/17,2017,December,1415400,1371900,43400,3,7281
