City,Year,Month,Date,UE Rate,Crime Rate,
OAK,1990,January,1/1/1990,3.8,  ,
OAK,1990,February,2/1/1990,3.7,  ,
OAK,1990,March,3/1/1990,3.6,  ,
OAK,1990,April,4/1/1990,3.8,  ,
OAK,1990,May,5/1/1990,3.7,  ,
OAK,1990,June,6/1/1990,3.9,  ,
OAK,1990,July,7/1/1990,4.5,  ,
OAK,1990,August,8/1/1990,4.3,  ,
OAK,1990,September,9/1/1990,4.4,  ,
OAK,1990,October,10/1/1990,4.2,  ,
OAK,1990,November,11/1/1990,4.3,  ,
OAK,1990,December,12/1/1990,4.3,  ,
OAK,1991,January,1/1/1991,5.2,  ,
OAK,1991,February,2/1/1991,5.3,  ,
OAK,1991,March,3/1/1991,5.4,  ,
OAK,1991,April,4/1/1991,5.2,  ,
OAK,1991,May,5/1/1991,5.4,  ,
OAK,1991,June,6/1/1991,5.7,  ,
OAK,1991,July,7/1/1991,5.9,  ,
OAK,1991,August,8/1/1991,5.6,  ,
OAK,1991,September,9/1/1991,5.6,  ,
OAK,1991,October,10/1/1991,5.4,  ,
OAK,1991,November,11/1/1991,5.3,  ,
OAK,1991,December,12/1/1991,5.2,  ,
OAK,1992,January,1/1/1992,6.3,  ,
OAK,1992,February,2/1/1992,6.4,  ,
OAK,1992,March,3/1/1992,6.3,  ,
OAK,1992,April,4/1/1992,6.2,  ,
OAK,1992,May,5/1/1992,6.4,  ,
OAK,1992,June,6/1/1992,7,  ,
OAK,1992,July,7/1/1992,7.1,  ,
OAK,1992,August,8/1/1992,7,  ,
OAK,1992,September,9/1/1992,6.9,  ,
OAK,1992,October,10/1/1992,6.3,  ,
OAK,1992,November,11/1/1992,6.5,  ,
OAK,1992,December,12/1/1992,6.2,  ,
OAK,1993,January,1/1/1993,6.9,  ,
OAK,1993,February,2/1/1993,6.8,  ,
OAK,1993,March,3/1/1993,6.6,  ,
OAK,1993,April,4/1/1993,6.5,  ,
OAK,1993,May,5/1/1993,6.4,  ,
OAK,1993,June,6/1/1993,6.9,  ,
OAK,1993,July,7/1/1993,7.2,  ,
OAK,1993,August,8/1/1993,6.9,  ,
OAK,1993,September,9/1/1993,6.8,  ,
OAK,1993,October,10/1/1993,6.5,  ,
OAK,1993,November,11/1/1993,6.3,  ,
OAK,1993,December,12/1/1993,5.8,  ,
OAK,1994,January,1/1/1994,6.7,  ,
OAK,1994,February,2/1/1994,6.6,  ,
OAK,1994,March,3/1/1994,6.3,  ,
OAK,1994,April,4/1/1994,6.2,  ,
OAK,1994,May,5/1/1994,5.9,  ,
OAK,1994,June,6/1/1994,6.3,  ,
OAK,1994,July,7/1/1994,6.7,  ,
OAK,1994,August,8/1/1994,6.5,  ,
OAK,1994,September,9/1/1994,6.2,  ,
OAK,1994,October,10/1/1994,5.8,  ,
OAK,1994,November,11/1/1994,5.4,  ,
OAK,1994,December,12/1/1994,5,  ,
OAK,1995,January,1/1/1995,5.9,  ,
OAK,1995,February,2/1/1995,5.5,  ,
OAK,1995,March,3/1/1995,5.6,  ,
OAK,1995,April,4/1/1995,5.9,  ,
OAK,1995,May,5/1/1995,5.7,  ,
OAK,1995,June,6/1/1995,6,  ,
OAK,1995,July,7/1/1995,6.4,  ,
OAK,1995,August,8/1/1995,6.1,  ,
OAK,1995,September,9/1/1995,5.9,  ,
OAK,1995,October,10/1/1995,5.5,  ,
OAK,1995,November,11/1/1995,5.2,  ,
OAK,1995,December,12/1/1995,4.8,  ,
OAK,1996,January,1/1/1996,5.7,  ,
OAK,1996,February,2/1/1996,5.3,  ,
OAK,1996,March,3/1/1996,5.3,  ,
OAK,1996,April,4/1/1996,5.2,  ,
OAK,1996,May,5/1/1996,5.1,  ,
OAK,1996,June,6/1/1996,5,  ,
OAK,1996,July,7/1/1996,5.5,  ,
OAK,1996,August,8/1/1996,5,  ,
OAK,1996,September,9/1/1996,5,  ,
OAK,1996,October,10/1/1996,4.7,  ,
OAK,1996,November,11/1/1996,4.5,  ,
OAK,1996,December,12/1/1996,4.1,  ,
OAK,1997,January,1/1/1997,4.9,  ,
OAK,1997,February,2/1/1997,4.6,  ,
OAK,1997,March,3/1/1997,4.5,  ,
OAK,1997,April,4/1/1997,4.3,  ,
OAK,1997,May,5/1/1997,4.2,  ,
OAK,1997,June,6/1/1997,4.6,  ,
OAK,1997,July,7/1/1997,4.8,  ,
OAK,1997,August,8/1/1997,4.6,  ,
